,smiles,logP,QED_score,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
0,COc1ccccc1[C@@H]1CC(=O)Nc2cc(C)c(C)cc21,4.17,0.909,12.053454743008313,12.053454743008313,0.045555555555554905,0.045555555555554905,0.9092531194502365,281.35499999999996,262.203,281.14157884800005,108,0,0.22483761805783176,-0.49645409477157526,0.49645409477157526,0.22483761805783176,1.0952380952380953,1.8095238095238095,2.5714285714285716,16.465850684139028,9.826609720190493,2.283329204397464,-2.277417758685223,2.409872678079546,-2.237255610428395,5.9530670737977465,-0.11620685799307265,2.4798172894097754,2.1671488192947312,706.3596687039505,14.982763184195939,12.565055246441656,12.565055246441656,10.096555450524587,7.137699338743368,7.137699338743368,5.570554041836381,5.570554041836381,4.219228740236355,4.219228740236355,2.9634430663742193,2.9634430663742193,-2.2899999999999996,69759.74016838639,13.68203547366416,5.243385975100734,2.396137789223999,124.49724837157011,10.05365155780638,5.749511833283905,0.0,5.907179729351506,0.0,0.0,4.794537184071822,0.0,0.0,0.0,24.26546827384644,42.67056301139546,23.58956543546796,7.109797541277533,9.53140013787187,11.594566004035068,0.0,0.0,0.0,26.18620206846865,12.426586145283864,58.65200837755764,0.0,5.749511833283905,10.05365155780638,5.687386274683562,5.749511833283905,0.0,13.016977270629038,4.794537184071822,13.847474399381248,34.592533635875384,36.39820241076966,0.0,0.0,0.0,38.33,0.0,4.794537184071822,0.0,11.8250857755129,6.4208216229260096,17.000349599664464,16.690354475090988,7.109797541277533,24.26546827384644,31.296997140310797,4.736862953800049,5.471080876795162,0.0,12.053454743008313,2.9853935185185185,5.589197032207946,0.9372567082388507,12.173223550222556,0.45424036281179125,4.166476521164022,1.6696766870328377,0.2777777777777778,21,1,3,0,1,1,2,0,2,2,1,3,2,0,0,0,3,83.99970000000003,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,COc1ccc2c(c1)O[C@](O)(C(F)(F)F)CC2=O,2.79,0.839,12.616874291383219,12.616874291383219,0.0095138888888886,-5.052156202758882,0.8395415722251554,262.18299999999994,253.11099999999993,262.04529342800004,98,0,0.4552877264471845,-0.496623978916529,0.496623978916529,0.4552877264471845,1.4444444444444444,2.111111111111111,2.6666666666666665,19.413883240262777,9.976269195148879,2.5952137703783524,-2.3386667540155575,2.4176376766325633,-2.533526912477317,5.999976274129499,-0.33414334782013844,2.2604411726406046,2.4668240377376076,497.5519592648665,13.55204176387779,9.245009474674653,9.245009474674653,8.26596853147643,4.960439031554542,4.960439031554542,3.8462447598069898,3.8462447598069898,2.611105428279998,2.611105428279998,1.633364414412573,1.633364414412573,-1.7600000000000005,7977.096898248694,12.690578969751453,3.8750343875643005,1.9006825236709886,99.92973505798302,14.580253302440804,11.49902366656781,5.783244946364939,0.0,0.0,11.963409670014071,4.794537184071822,0.0,13.171245143024459,0.0,0.0,12.13273413692322,6.06636706846161,19.094070655900538,32.54603562953709,5.783244946364939,0.0,0.0,0.0,18.38423129294008,7.109797541277533,23.762552697081826,0.0,11.49902366656781,9.473725907600098,13.171245143024459,11.49902366656781,0.0,29.96297955249725,0.0,0.0,16.778810298694825,18.19910120538483,0.0,0.0,0.0,55.76,24.167476239305017,23.072309721936985,0.0,17.062475158264807,0.0,6.06636706846161,19.242531678200752,0.0,0.0,4.736862953800049,4.736862953800049,47.19221182917611,0.0,11.566613756613757,9.379690098261527,-0.0095138888888886,-4.429794501133786,3.854775604686319,-6.209072066326531,0.0,1.3217558342781557,0.36363636363636365,18,1,4,0,1,1,1,0,1,4,1,7,1,0,0,0,2,53.57430000000001,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,3,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,C=C(c1ccc(N(C)C)cc1)c1ccc(N(C)C)cc1,5.3,0.828,4.217020030234316,4.217020030234316,1.056122448979592,1.056122448979592,0.8283329473136785,266.388,244.21199999999996,266.178298704,104,0,0.03609228012634613,-0.3776609054180283,0.3776609054180283,0.03609228012634613,0.65,0.95,1.2,15.059973423732231,9.988562665580451,2.0377220086093906,-2.1484813826780806,2.2480383127233727,-2.0806833436106826,5.789690525491653,1.1298741524246099,2.4638770045483334,2.2190020999743028,524.3202167358058,14.698306133819765,12.720336125703472,12.720336125703472,9.486071002992366,6.7323557781849015,6.7323557781849015,5.3611558212770545,5.3611558212770545,3.464328406633462,3.464328406633462,2.0881806545774193,2.0881806545774193,-2.2199999999999993,32168.37817138304,14.19464363443765,5.826192219289083,3.020901581332349,121.50821432016313,9.799819461700956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.844403957444936,40.9654757873097,39.56546048007588,0.0,0.0,16.94787707943639,0.0,0.0,0.0,0.0,37.99050739240972,66.23677521468537,0.0,0.0,9.799819461700956,11.374772549367124,0.0,0.0,28.19068793070876,0.0,0.0,11.126902983393991,55.10987223129138,0.0,5.573104530069267,0.0,6.48,0.0,0.0,0.0,0.0,0.0,16.70000751346326,11.374772549367124,0.0,28.19068793070876,64.90969169299233,0.0,0.0,0.0,4.191307634164777,0.0,5.774101653517239,0.0,16.969155328798188,0.0,4.217020030234316,8.181748686618816,0.2222222222222222,20,0,2,0,0,0,2,0,2,2,0,2,4,0,0,0,2,89.67400000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Cc1ccc([C@@H](O)C#CC(O)(c2ccccc2)c2ccccc2)o1,3.53,0.726,11.239605221718318,11.239605221718318,0.3643271814898801,-1.5087921626984127,0.7260803297839666,318.37200000000007,300.228,318.125594436,120,0,0.17648085147864695,-0.46253410213594626,0.46253410213594626,0.17648085147864695,0.875,1.4166666666666667,1.875,16.364914761904384,9.864935264916983,2.2899130331380757,-2.2325622142882837,2.2895854818077077,-2.2497185164371754,5.443938932586355,0.14311220163351487,3.0722959900296196,2.024810643629463,814.6044447231524,16.993353063746344,13.308228980928918,13.308228980928918,11.593172145670252,7.699455054719506,7.699455054719506,5.562749771571804,5.562749771571804,3.8035619864229306,3.8035619864229306,2.5140287163320236,2.5140287163320236,-2.799999999999999,432825.0590753728,16.07173008323425,6.755813615909422,3.255363321799309,140.7523242639362,14.630205726734758,11.520494837748885,11.70501719873199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.50453932232739,19.056471336613843,11.126902983393991,0.0,14.630205726734758,0.0,0.0,0.0,0.0,18.628754398422615,0.0,95.44380264268223,0.0,11.840868637711289,0.0,0.0,0.0,0.0,10.213054789681411,5.601050810983688,18.764605837401913,28.751364208891175,77.21355575859268,0.0,0.0,0.0,53.6,11.70501719873199,10.213054789681411,0.0,0.0,22.647397821142874,0.0,0.0,19.056471336613843,60.6636706846161,11.840868637711289,4.417150937053347,5.387791005291005,0.0,0.0,21.452123488284204,-0.21893021174519145,6.608856539784571,21.82002872728522,-1.0993986205593351,1.799529071659528,0.0,0.14285714285714285,24,2,3,0,0,0,2,1,3,3,2,3,3,0,0,0,3,92.06360000000002,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,CC(C)(C)c1cc(Cc2ccccc2)n[nH]1,4.35,0.816,4.352931311413454,4.352931311413454,0.14081136621315182,0.14081136621315182,0.8160434227169543,214.31200000000004,196.16799999999998,214.146998576,84,0,0.0668466910180218,-0.28175087346361793,0.28175087346361793,0.0668466910180218,1.125,1.8125,2.375,15.120847361794866,9.917985570190229,2.159146285442924,-2.1414394772263785,2.2061346157275152,-2.107302461285907,5.238064185087885,0.5665553243233903,2.671659379584621,2.150834953720349,449.08762251482307,11.59601183824781,10.118421991824263,10.118421991824263,7.554661458305718,5.642354248399092,5.642354248399092,5.185332227706256,5.185332227706256,2.6669896709247567,2.6669896709247567,1.6429614412046043,1.6429614412046043,-1.5699999999999998,5439.498496834289,10.931669782501954,4.12438997712008,2.511139670958762,96.71046986790958,0.0,0.0,0.0,0.0,0.0,0.0,5.098681808301038,0.0,5.098681808301038,0.0,51.10304694137992,11.629818560158606,17.52974008717125,5.693927994848461,0.0,0.0,0.0,10.197363616602075,0.0,32.60702369139466,0.0,53.349509892163574,0.0,0.0,0.0,0.0,0.0,0.0,10.197363616602075,11.83581209232279,0.0,37.72251908046579,36.39820241076966,0.0,0.0,0.0,28.68,0.0,0.0,0.0,5.41499046939678,0.0,12.114749617774471,11.257379486545457,0.0,6.06636706846161,61.300410557982,0.0,0.0,0.0,0.0,7.468883456160242,3.7417514644746794,0.0,12.581179138321996,0.89625,6.561935941043084,0.0,0.35714285714285715,16,1,2,0,0,0,1,1,2,1,1,2,2,0,0,0,2,66.53570000000003,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,C[C@H]1C[C@H](NC(=S)NCc2csc3ccccc23)CC(C)(C)C1,6.21,0.757,5.525468421936676,5.525468421936676,0.41121718575069055,0.41121718575069055,0.7579072878826695,346.56500000000017,320.3570000000001,346.153740832,124,0,0.1662801536102027,-0.359968367940072,0.359968367940072,0.1662801536102027,1.3043478260869565,2.0869565217391304,2.869565217391304,32.133476479139446,9.705123268823893,2.3165558737417222,-2.392312674651885,2.3794884629599475,-2.4614153851852985,7.797801719846374,0.16109425971828448,2.858073167145724,1.5539427202782232,689.4893705348502,16.44938298937633,14.1863755900013,15.819368751856752,10.927453471798822,8.423208082656803,9.711109184375562,7.69437444265682,9.013853659539162,4.722699433675126,5.9971869182198585,4.037625493006711,5.239224586371431,-1.13,173888.029562313,16.71817408357552,6.776638027648109,4.23896984986968,148.22046764089814,10.633577208012662,0.0,5.112436884724758,0.0,0.0,0.0,0.0,0.0,0.0,11.336785877934737,38.9703128044567,65.2093403724722,17.286517151529637,0.0,0.0,38.75324033664009,0.0,10.633577208012662,11.332896515558172,52.62027370291044,0.0,35.20898253600935,0.0,0.0,10.633577208012662,0.0,0.0,23.554659320981433,11.15427771387272,6.544756405912575,11.332896515558172,45.597127959546896,29.645531044312353,0.0,10.086144130933896,0.0,24.06,0.0,0.0,0.0,0.0,11.45683129854474,17.575099336798726,34.91206049140892,11.336785877934737,0.0,61.05031985139688,12.217873443046695,1.3389189336330392,7.323095037461469,0.0,11.281788496262703,1.7372283687732826,0.7637660841042873,9.040192081192089,3.721663655580225,7.87668067632624,0.0,0.5263157894736842,23,2,2,1,0,1,1,1,2,2,2,4,3,1,0,1,3,104.98240000000006,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,CCNc1nc(NC(C)C)nc(Oc2ccc(OCC)nn2)n1,3.14,0.755,5.54933130196523,5.54933130196523,0.1366295298983795,0.1366295298983795,0.7558514944786298,319.369,298.20099999999996,319.1756729120001,124,0,0.32954211593957,-0.4768904288136371,0.4768904288136371,0.32954211593957,1.0,1.6956521739130435,2.3043478260869565,16.50765418080452,10.402859096046218,2.0996808680715895,-2.1088584801143493,2.185954362028482,-2.1473358387317028,5.365055646802634,0.31824284377037404,2.4882247283468,2.1756771855182224,619.0228889879584,16.656489770562878,13.69882892836949,13.69882892836949,11.100886748174156,7.511728180753834,7.511728180753834,4.839449613345802,4.839449613345802,2.4712428832356292,2.4712428832356292,1.6426934051033366,1.6426934051033366,-2.7100000000000004,134812.01578182963,16.65693839198825,8.062945860308343,5.203488797076331,134.4366004257044,20.10730311561276,0.0,0.0,23.65665523484373,0.0,6.010464839586836,0.0,0.0,14.951935562841626,10.197363616602075,0.0,27.694948798762496,24.719331371983756,6.606881964512918,9.473725907600098,11.896678561972989,0.0,25.149299179443698,0.0,33.736789627910454,23.785215578438155,12.13273413692322,0.0,17.77044151245758,20.10730311561276,11.896678561972989,17.77044151245758,0.0,44.342778379017155,0.0,0.0,27.694948798762496,12.13273413692322,0.0,0.0,0.0,106.97000000000001,0.0,0.0,0.0,17.932294005170167,30.928305268833853,0.0,0.0,12.13273413692322,27.694948798762496,35.78287638745636,9.473725907600098,10.783879574927104,0.0,12.668060169481524,13.96716271771692,0.0,1.572211712483178,3.6370458106153665,0.0,9.038306681442574,0.0,0.5,23,2,9,0,0,0,0,2,2,9,2,9,8,0,0,0,2,86.02440000000004,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,N#CC1=C(N)Oc2c(c(=O)oc3ccccc23)[C@H]1c1cccs1,2.34,0.695,12.536736583522298,12.536736583522298,0.02236394557823118,-0.5651795162509459,0.6954395425208989,322.345,312.265,322.04121318000006,112,0,0.3438006006628213,-0.43914014848301786,0.43914014848301786,0.3438006006628213,1.2173913043478262,2.0434782608695654,2.782608695652174,32.13347407555533,9.881790448272481,2.3536601067718848,-2.243870055206941,2.438935043783319,-2.2546778630054316,7.096306954537263,0.38844214266241567,3.075949069988738,2.113608800274207,1041.8759952533992,15.97432701575866,11.776359180062045,12.59285576098977,11.202708600407234,6.871446538367442,7.751099349622337,5.06870190374056,6.047974211903015,3.8018594954579132,4.739027650068922,2.8059783596007617,3.6491679042752634,-3.0399999999999983,351414.8774499334,13.611106605640474,5.003894558802738,1.9444378930458832,134.3872139316218,14.887681368015581,17.225345984503782,5.749511833283905,5.883099654642741,0.0,5.625586319077987,0.0,4.794537184071822,5.261891554738487,11.336785877934737,18.19910120538483,23.579163975850747,4.877147193701299,16.867581752323183,9.154013890853395,22.306030234041774,5.261891554738487,0.0,5.733667477162185,5.917906046161393,0.0,74.09519155449568,0.0,11.818733146076179,16.096116750040224,0.0,5.749511833283905,11.336785877934737,0.0,0.0,11.33111286753076,16.35850473155969,62.446157487072746,0.0,10.969244356107037,0.0,89.25000000000001,11.54349236523938,10.056428738810308,0.0,11.456204184712009,22.28220768108794,4.877147193701299,11.336785877934737,18.19910120538483,23.579163975850747,6.069221312792274,14.887681368015581,11.049928193499621,1.4513451646090532,13.38083947467876,12.007857457797936,6.39897486772487,-0.17545445956160344,12.886509301251365,0.0,0.0,0.0,0.058823529411764705,23,2,5,0,1,1,1,2,3,6,1,6,1,0,0,0,4,86.10040000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,CCOC(=O)CC1=Nn2c(nnc2-c2cccs2)SC1,2.98,0.81,11.52435888552952,11.52435888552952,0.21065523431594868,-0.2490295361971948,0.8104255187451771,308.3880000000001,296.29200000000003,308.040167624,104,0,0.3111101305953649,-0.46569110236480216,0.46569110236480216,0.3111101305953649,1.5,2.4,3.15,32.1665992824924,10.286851129101084,2.2130813324250473,-2.1224297324683183,2.292601688995567,-2.1756319929068826,7.9943402502476815,-0.1411138190258645,3.061411309854349,1.874494071114979,648.4713737073831,13.94938298937633,10.775218694983806,12.408211856839259,9.775188245478667,6.120691853490612,7.985943224398996,4.031986568382063,5.922179402240671,2.6166634822672608,4.472818385280764,1.7882034784308036,3.285430570058358,-1.669999999999999,70280.81944032629,13.319405260810983,5.758081175804949,2.6121183851851875,123.40319942774124,4.736862953800049,0.0,5.824404497999927,5.156436481820707,0.0,5.969305287951849,4.794537184071822,0.0,9.777509966635131,21.534149494536813,17.828252017852726,18.37016703861815,5.752853606746789,23.616535783910926,9.53140013787187,34.7796611180484,0.0,14.873466057497485,5.101407525739723,18.50099530443734,12.359735571259707,17.512796907389134,0.0,10.701551691701226,0.0,0.0,0.0,23.098670827325854,38.91419191947974,9.53140013787187,0.0,13.344558822616634,27.770640914949563,0.0,10.701551691701226,0.0,69.37,0.0,4.794537184071822,0.0,12.390126910877859,18.184140069259634,15.745268678292708,11.761884949391115,22.93662551852077,17.512796907389134,15.2987711423418,4.736862953800049,6.652010608255647,3.113652928827892,12.529437332031577,15.501530426794226,0.7764408541194256,1.1028650163769211,3.9331498260971567,0.21065523431594868,2.1802577731812036,0.0,0.3333333333333333,20,0,6,0,1,1,0,2,2,8,0,8,4,0,0,0,3,78.14200000000002,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
9,O=C(Nc1ccc(C(F)(F)F)cc1)[C@H]1CCc2ccccc2O1,4.5,0.906,12.50630998294994,12.50630998294994,0.31060983035189405,-4.390148730881019,0.9064763451173531,321.298,307.18600000000004,321.09766334799997,120,0,0.41591206454759017,-0.4802981986772355,0.4802981986772355,0.41591206454759017,1.0869565217391304,1.7826086956521738,2.4782608695652173,19.413178351034436,10.0165306469934,2.30168742869521,-2.2475879428773986,2.3028151931542444,-2.3533302831707545,5.941275472365732,-0.13713640687531123,2.5376638236222795,1.6598392153055874,710.5235734634848,16.44938298937633,12.060755985035136,12.060755985035136,10.931671556017463,7.160091550260713,7.160091550260713,5.3172510059625075,5.3172510059625075,3.6898977070597954,3.6898977070597954,2.4740310100138982,2.4740310100138982,-2.4999999999999996,166663.60928021683,15.397777777777778,5.946870126977055,3.4674843954129773,130.62891246595223,10.05365155780638,5.749511833283905,6.103966387748303,0.0,5.907179729351506,6.176298517443475,4.794537184071822,0.0,13.171245143024459,0.0,18.19910120538483,48.73693007985707,5.687386274683562,5.563451491696996,22.70264528089633,11.594566004035068,0.0,0.0,0.0,25.121908151043797,5.316788604006331,59.65783953108687,0.0,5.749511833283905,10.05365155780638,18.858631417708022,5.749511833283905,0.0,12.011146117099809,17.391657324441304,0.0,17.54772460632,48.53093654769288,0.0,0.0,0.0,38.33,17.843716396888773,17.96578232709628,0.0,5.907179729351506,17.857719730893475,24.117007251546227,12.13273413692322,6.06636706846161,18.19910120538483,5.316788604006331,4.736862953800049,43.17079101271981,0.0,12.200801327475435,2.5898193027210885,0.6063717254833776,0.3107232224845873,11.81971155088652,-3.7815514751041537,0.0,0.0,0.23529411764705882,23,1,3,0,1,1,2,0,2,2,1,6,2,0,0,0,3,79.25270000000003,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,1,1,0,0,0,2,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
